CODE2,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
A6307-16,1227,2579,1255,1324,"109Y12M"
A6307-17,1020,2533,1249,1284,"109Y12M"
A6307-18,1210,2838,1427,1411,"109Y12M"
A6307-19,1147,2816,1324,1492,"109Y12M"
A6307-20,1021,2377,1211,1166,"109Y12M"
A6307-21,2495,4286,2466,1820,"109Y12M"
A6307-22,1026,2460,1213,1247,"109Y12M"
A6307-23,1063,2420,1157,1263,"109Y12M"
A6307-24,1071,2835,1421,1414,"109Y12M"
A6307-25,1074,2515,1245,1270,"109Y12M"
A6307-26,826,1931,1004,927,"109Y12M"
A6307-27,1096,2622,1316,1306,"109Y12M"
A6307-28,1051,2608,1312,1296,"109Y12M"
A6307-29,1102,2630,1305,1325,"109Y12M"
A6307-30,1053,2761,1344,1417,"109Y12M"
A6307-31,937,2502,1238,1264,"109Y12M"
A6307-32,1144,2804,1345,1459,"109Y12M"
A6307-33,2,3,1,2,"109Y12M"
A6307-34,1359,2988,1425,1563,"109Y12M"
A6307-35,1170,2624,1242,1382,"109Y12M"
A6307-36,1110,2690,1355,1335,"109Y12M"
A6307-37,1170,2920,1419,1501,"109Y12M"
A6307-38,1150,2573,1266,1307,"109Y12M"
A6307-39,892,2182,1098,1084,"109Y12M"
A6307-40,1429,3495,1658,1837,"109Y12M"
A6307-41,1177,2785,1336,1449,"109Y12M"
A6307-42,1162,2905,1438,1467,"109Y12M"
A6307-43,1092,2542,1187,1355,"109Y12M"
A6307-44,1236,2994,1482,1512,"109Y12M"
A6307-45,1070,2815,1391,1424,"109Y12M"
A6307-46,1036,2717,1364,1353,"109Y12M"
A6307-47,1482,2996,1333,1663,"109Y12M"
A6307-48,1094,2702,1292,1410,"109Y12M"
A6307-49,1078,2648,1287,1361,"109Y12M"
A6307-50,1259,2826,1322,1504,"109Y12M"
A6307-51,1268,3261,1586,1675,"109Y12M"
A6307-52,1037,2364,1127,1237,"109Y12M"
A6307-53,1238,3248,1619,1629,"109Y12M"
A6307-54,1293,3268,1605,1663,"109Y12M"
A6307-55,1134,2823,1414,1409,"109Y12M"
A6307-56,1015,2693,1326,1367,"109Y12M"
A6307-58,1228,2747,1324,1423,"109Y12M"
A6307-59,1111,2782,1361,1421,"109Y12M"
A6307-60,902,2396,1200,1196,"109Y12M"
A6307-61,1138,2907,1413,1494,"109Y12M"
A6307-62,1302,3119,1517,1602,"109Y12M"
A6307-63,1142,2928,1410,1518,"109Y12M"
A6307-64,1532,3303,1609,1694,"109Y12M"
A6307-65,1092,2825,1442,1383,"109Y12M"
A6307-66,1062,2814,1410,1404,"109Y12M"
A6307-67,1179,2910,1411,1499,"109Y12M"
A6308-01,1308,3089,1436,1653,"109Y12M"
A6308-02,1175,2713,1293,1420,"109Y12M"
A6308-03,1774,3992,1935,2057,"109Y12M"
A6308-04,1209,3243,1538,1705,"109Y12M"
A6308-05,1361,2990,1390,1600,"109Y12M"
A6308-06,1242,2868,1401,1467,"109Y12M"
A6308-07,1328,3168,1549,1619,"109Y12M"
A6308-08,1305,3239,1556,1683,"109Y12M"
A6308-09,1129,3076,1483,1593,"109Y12M"
A6308-10,1555,3589,1664,1925,"109Y12M"
A6308-11,1270,2901,1359,1542,"109Y12M"
A6308-12,1171,2834,1354,1480,"109Y12M"
A6308-13,1242,2984,1397,1587,"109Y12M"
A6308-14,1224,2821,1311,1510,"109Y12M"
A6308-15,1090,2579,1185,1394,"109Y12M"
A6308-16,1009,2566,1207,1359,"109Y12M"
A6308-17,1144,2838,1371,1467,"109Y12M"
A6308-18,1009,2874,1337,1537,"109Y12M"
A6308-19,1098,2842,1337,1505,"109Y12M"
A6308-20,1242,3004,1474,1530,"109Y12M"
A6308-21,924,2392,1142,1250,"109Y12M"
A6308-22,1055,2712,1302,1410,"109Y12M"
A6308-23,1155,2754,1314,1440,"109Y12M"
A6308-24,1292,3235,1521,1714,"109Y12M"
A6308-25,1432,3506,1681,1825,"109Y12M"
A6308-26,1092,2805,1336,1469,"109Y12M"
A6308-27,1037,2644,1274,1370,"109Y12M"
A6308-28,2373,5490,2595,2895,"109Y12M"
A6308-29,1224,3010,1413,1597,"109Y12M"
A6308-30,1164,2700,1270,1430,"109Y12M"
A6308-31,1117,2835,1337,1498,"109Y12M"
A6308-32,1291,3285,1564,1721,"109Y12M"
A6308-33,1209,3065,1449,1616,"109Y12M"
A6308-34,1256,3250,1523,1727,"109Y12M"
A6308-35,1139,3080,1463,1617,"109Y12M"
A6308-36,860,2464,1170,1294,"109Y12M"
A6308-37,1328,3295,1574,1721,"109Y12M"
A6308-38,1084,2726,1321,1405,"109Y12M"
A6308-39,963,2650,1298,1352,"109Y12M"
A6308-40,1471,3453,1621,1832,"109Y12M"
A6308-41,1080,2931,1366,1565,"109Y12M"
A6308-42,1040,2707,1299,1408,"109Y12M"
A6308-43,1140,2966,1395,1571,"109Y12M"
A6308-44,1128,2839,1305,1534,"109Y12M"
A6308-45,1041,2694,1317,1377,"109Y12M"
A6308-46,944,2473,1164,1309,"109Y12M"
A6308-47,1357,3287,1558,1729,"109Y12M"
A6308-48,1139,2784,1313,1471,"109Y12M"
A6308-49,1544,3464,1581,1883,"109Y12M"
A6308-50,1207,3016,1444,1572,"109Y12M"
A6308-51,1750,4198,1997,2201,"109Y12M"
A6308-52,1259,3289,1590,1699,"109Y12M"
A6308-53,1097,2863,1324,1539,"109Y12M"
A6308-54,1188,3075,1475,1600,"109Y12M"
A6308-55,1130,2835,1365,1470,"109Y12M"
A6308-56,7,18,11,7,"109Y12M"
A6308-57,1333,3208,1485,1723,"109Y12M"
A6308-58,1484,3601,1677,1924,"109Y12M"
A6308-59,1058,2556,1248,1308,"109Y12M"
A6308-60,1487,3629,1741,1888,"109Y12M"
A6308-61,1068,2685,1301,1384,"109Y12M"
A6308-62,2379,4558,2420,2138,"109Y12M"
A6308-63,835,2193,1051,1142,"109Y12M"
A6308-64,1092,2763,1357,1406,"109Y12M"
A6308-65,1130,2809,1316,1493,"109Y12M"
A6308-66,1189,2957,1428,1529,"109Y12M"
A6308-67,1554,4155,2007,2148,"109Y12M"
A6308-68,1463,3906,1880,2026,"109Y12M"
A6308-69,1098,2715,1291,1424,"109Y12M"
A6308-70,927,2179,976,1203,"109Y12M"
A6308-71,1640,3978,1874,2104,"109Y12M"
A6308-72,1137,2957,1454,1503,"109Y12M"
A6308-73,1122,2778,1340,1438,"109Y12M"
A6308-74,1671,4074,2019,2055,"109Y12M"
A6308-75,1065,2752,1351,1401,"109Y12M"
A6308-76,1146,2924,1452,1472,"109Y12M"
A6308-77,1105,2823,1352,1471,"109Y12M"
A6308-78,1133,2952,1388,1564,"109Y12M"
A6308-79,1250,3261,1575,1686,"109Y12M"
A6308-80,1028,2684,1300,1384,"109Y12M"
A6308-81,1050,2837,1314,1523,"109Y12M"
A6308-82,1201,3139,1504,1635,"109Y12M"
A6308-83,986,2675,1288,1387,"109Y12M"
A6308-84,1348,3349,1737,1612,"109Y12M"
A6308-85,1068,2910,1403,1507,"109Y12M"
A6308-86,1047,2786,1351,1435,"109Y12M"
A6308-87,1079,2910,1419,1491,"109Y12M"
A6308-88,1058,2757,1287,1470,"109Y12M"
A6308-89,1142,2943,1396,1547,"109Y12M"
A6308-90,9,13,4,9,"109Y12M"
A6309-01,3462,7456,3602,3854,"109Y12M"
A6309-03,1838,4503,2203,2300,"109Y12M"
A6309-04,1487,3599,1766,1833,"109Y12M"
A6309-05,1382,3539,1722,1817,"109Y12M"
A6309-06,1753,4228,2002,2226,"109Y12M"
A6309-07,1229,3185,1563,1622,"109Y12M"
A6309-08,1753,3890,1891,1999,"109Y12M"
A6309-09,1213,3173,1558,1615,"109Y12M"
A6309-10,1006,2647,1357,1290,"109Y12M"
A6309-11,1155,2855,1410,1445,"109Y12M"
A6309-12,1430,3303,1621,1682,"109Y12M"
A6309-13,1101,2767,1320,1447,"109Y12M"
A6309-14,1376,3028,1614,1414,"109Y12M"
A6309-15,1126,2756,1317,1439,"109Y12M"
A6309-16,1173,3174,1562,1612,"109Y12M"
A6309-17,1084,2766,1337,1429,"109Y12M"
A6309-18,1103,2624,1287,1337,"109Y12M"
A6309-19,1163,2876,1360,1516,"109Y12M"
A6309-20,1026,2668,1348,1320,"109Y12M"
A6309-21,1609,3901,1907,1994,"109Y12M"
A6309-22,1150,2882,1411,1471,"109Y12M"
A6309-23,998,2718,1320,1398,"109Y12M"
A6309-24,1052,2677,1269,1408,"109Y12M"
A6309-25,1051,2659,1266,1393,"109Y12M"
A6309-26,1009,2547,1202,1345,"109Y12M"
A6309-27,1379,3352,1630,1722,"109Y12M"
A6309-28,1051,2633,1252,1381,"109Y12M"
A6309-29,1072,2749,1324,1425,"109Y12M"
A6309-30,1027,2550,1219,1331,"109Y12M"
A6309-31,1139,2701,1319,1382,"109Y12M"
A6309-32,1226,3079,1490,1589,"109Y12M"
A6309-33,1061,2778,1365,1413,"109Y12M"
A6309-34,1021,2711,1312,1399,"109Y12M"
A6309-35,1064,2708,1313,1395,"109Y12M"
A6309-36,1027,2722,1332,1390,"109Y12M"
A6309-37,1181,2972,1435,1537,"109Y12M"
A6309-38,1011,2635,1301,1334,"109Y12M"
A6309-39,1061,2847,1454,1393,"109Y12M"
A6310-01,1253,3347,1712,1635,"109Y12M"
A6310-02,1453,3422,1619,1803,"109Y12M"
A6310-03,1201,3001,1424,1577,"109Y12M"
A6310-04,1216,3178,1482,1696,"109Y12M"
A6310-05,1360,3371,1541,1830,"109Y12M"
A6310-06,1227,3124,1475,1649,"109Y12M"
A6310-07,1222,3143,1465,1678,"109Y12M"
A6310-08,1043,2745,1348,1397,"109Y12M"
A6310-09,1199,3107,1499,1608,"109Y12M"
A6310-10,1308,3282,1533,1749,"109Y12M"
A6310-11,1152,2953,1390,1563,"109Y12M"
A6310-12,1177,3064,1513,1551,"109Y12M"
A6310-13,1266,3579,1705,1874,"109Y12M"
A6310-14,1130,2887,1385,1502,"109Y12M"
A6310-15,1080,2742,1339,1403,"109Y12M"
A6310-16,1189,3053,1436,1617,"109Y12M"
A6310-17,1435,3681,1726,1955,"109Y12M"
A6310-18,1393,3446,1609,1837,"109Y12M"
A6310-19,1509,3239,1488,1751,"109Y12M"
A6310-20,1178,3198,1548,1650,"109Y12M"
A6310-21,1191,3468,1645,1823,"109Y12M"
A6310-22,1155,2950,1419,1531,"109Y12M"
A6310-23,1180,3005,1412,1593,"109Y12M"
A6310-24,1196,3075,1472,1603,"109Y12M"
A6310-25,1278,3227,1536,1691,"109Y12M"
A6310-26,1229,3519,1714,1805,"109Y12M"
A6310-27,1330,3157,1513,1644,"109Y12M"
A6310-28,1152,3150,1513,1637,"109Y12M"
A6310-29,1319,3236,1538,1698,"109Y12M"
A6310-30,1364,3639,1693,1946,"109Y12M"
A6310-31,1370,3293,1515,1778,"109Y12M"
A6310-32,1045,2812,1317,1495,"109Y12M"
A6310-33,1275,3350,1611,1739,"109Y12M"
A6310-34,1548,3318,1483,1835,"109Y12M"
A6310-35,1112,3037,1440,1597,"109Y12M"
A6310-36,1306,3402,1652,1750,"109Y12M"
A6310-37,1304,3231,1558,1673,"109Y12M"
A6310-38,1126,2960,1417,1543,"109Y12M"
A6310-39,1133,2946,1423,1523,"109Y12M"
A6310-40,1150,3012,1459,1553,"109Y12M"
A6310-41,1136,2907,1392,1515,"109Y12M"
A6310-42,1202,3029,1403,1626,"109Y12M"
A6310-43,1252,3053,1400,1653,"109Y12M"
A6310-44,1259,3259,1597,1662,"109Y12M"
A6310-45,1074,2529,1201,1328,"109Y12M"
A6310-46,1105,2776,1293,1483,"109Y12M"
A6310-47,1024,2835,1349,1486,"109Y12M"
A6310-48,1185,2972,1413,1559,"109Y12M"
A6310-49,1170,2981,1434,1547,"109Y12M"
A6310-50,945,2813,1323,1490,"109Y12M"
A6310-51,1092,2874,1342,1532,"109Y12M"
A6310-52,1112,3074,1497,1577,"109Y12M"
A6310-53,1071,2819,1342,1477,"109Y12M"
A6310-54,1059,3054,1465,1589,"109Y12M"
A6310-55,1310,2911,1340,1571,"109Y12M"
A6310-56,1223,3438,1605,1833,"109Y12M"
A6310-57,1307,3363,1504,1859,"109Y12M"
A6310-58,973,3054,1466,1588,"109Y12M"
A6310-59,923,2343,1066,1277,"109Y12M"
A6310-60,2118,5091,2428,2663,"109Y12M"
A6310-61,1208,3387,1607,1780,"109Y12M"
A6310-62,997,2854,1384,1470,"109Y12M"
A6310-63,1021,2775,1326,1449,"109Y12M"
A6310-64,1185,3443,1648,1795,"109Y12M"
A6310-65,1024,2921,1432,1489,"109Y12M"
A6310-66,1097,3040,1408,1632,"109Y12M"
A6310-67,985,2673,1286,1387,"109Y12M"
A6310-68,1073,3145,1491,1654,"109Y12M"
A6310-69,1035,3109,1466,1643,"109Y12M"
A6310-70,1825,3259,1782,1477,"109Y12M"
A6310-71,1256,3429,1575,1854,"109Y12M"
A6310-72,1577,4067,1927,2140,"109Y12M"
A6310-73,1003,2859,1401,1458,"109Y12M"
A6310-74,863,2511,1203,1308,"109Y12M"
A6310-75,3198,6882,3243,3639,"109Y12M"
A6310-76,1011,2958,1428,1530,"109Y12M"
A6310-77,1460,4042,1928,2114,"109Y12M"
A6310-78,923,2435,1181,1254,"109Y12M"
A6310-79,1391,3214,1530,1684,"109Y12M"
A6310-80,1220,3470,1655,1815,"109Y12M"
A6310-81,1207,3480,1655,1825,"109Y12M"
A6310-82,2301,4928,2308,2620,"109Y12M"
A6310-83,866,2291,1107,1184,"109Y12M"
A6310-84,1,1,1,0,"109Y12M"
A6310-85,1199,3116,1545,1571,"109Y12M"
A6310-86,1324,3150,1520,1630,"109Y12M"
A6310-87,1585,3837,1874,1963,"109Y12M"
A6310-88,1359,3310,1621,1689,"109Y12M"
A6310-89,1444,3527,1721,1806,"109Y12M"
A6311-01,1037,2760,1462,1298,"109Y12M"
A6311-02,1430,2939,1418,1521,"109Y12M"
A6311-03,1127,3049,1568,1481,"109Y12M"
A6311-04,971,2629,1296,1333,"109Y12M"
A6311-05,1188,3159,1454,1705,"109Y12M"
A6311-06,1129,2995,1372,1623,"109Y12M"
A6311-07,1231,3298,1559,1739,"109Y12M"
A6311-08,1045,2958,1428,1530,"109Y12M"
A6311-09,1066,2953,1419,1534,"109Y12M"
A6311-10,1062,2784,1298,1486,"109Y12M"
A6311-11,875,2289,1050,1239,"109Y12M"
A6311-12,1154,3118,1414,1704,"109Y12M"
A6311-13,1274,3346,1538,1808,"109Y12M"
A6311-14,1076,2788,1327,1461,"109Y12M"
A6311-15,1175,3054,1412,1642,"109Y12M"
A6311-16,1134,2950,1332,1618,"109Y12M"
A6311-17,1037,2724,1353,1371,"109Y12M"
A6311-18,1096,3092,1472,1620,"109Y12M"
A6311-19,996,2786,1334,1452,"109Y12M"
A6311-20,1084,2923,1329,1594,"109Y12M"
A6311-21,1155,3085,1422,1663,"109Y12M"
A6311-22,1175,3147,1487,1660,"109Y12M"
A6311-23,1140,3161,1509,1652,"109Y12M"
A6311-24,1141,3066,1429,1637,"109Y12M"
A6311-25,1007,2911,1374,1537,"109Y12M"
A6311-26,1010,2633,1199,1434,"109Y12M"
A6311-27,1053,2748,1275,1473,"109Y12M"
A6311-28,983,2578,1224,1354,"109Y12M"
A6311-29,1027,2775,1281,1494,"109Y12M"
A6311-30,1241,3420,1643,1777,"109Y12M"
A6311-31,1159,2977,1393,1584,"109Y12M"
A6311-32,1626,3371,1774,1597,"109Y12M"
A6311-33,986,2611,1239,1372,"109Y12M"
A6311-34,1118,2933,1360,1573,"109Y12M"
A6311-35,1031,2848,1358,1490,"109Y12M"
A6311-36,1098,2881,1351,1530,"109Y12M"
A6311-37,1044,2816,1296,1520,"109Y12M"
A6311-38,1091,2715,1268,1447,"109Y12M"
A6311-39,1298,2775,1402,1373,"109Y12M"
A6311-40,1185,2661,1253,1408,"109Y12M"
A6311-41,1327,3126,1637,1489,"109Y12M"
A6311-42,1109,2561,1154,1407,"109Y12M"
A6311-43,885,2410,1061,1349,"109Y12M"
A6311-44,881,2373,1096,1277,"109Y12M"
A6311-45,1190,2898,1393,1505,"109Y12M"
A6311-46,979,2386,1091,1295,"109Y12M"
A6311-47,1100,2621,1229,1392,"109Y12M"
A6311-48,906,2420,1174,1246,"109Y12M"
A6311-49,1037,2718,1313,1405,"109Y12M"
A6311-50,950,2416,1139,1277,"109Y12M"
A6311-51,713,1935,939,996,"109Y12M"
A6311-52,973,2486,1215,1271,"109Y12M"
A6311-53,782,2078,1027,1051,"109Y12M"
A6311-54,1130,2741,1276,1465,"109Y12M"
A6311-55,801,2123,1013,1110,"109Y12M"
A6311-56,858,2098,982,1116,"109Y12M"
A6311-57,932,2166,1032,1134,"109Y12M"
A6311-58,740,1933,915,1018,"109Y12M"
A6311-59,1200,2824,1375,1449,"109Y12M"
A6311-60,35,69,35,34,"109Y12M"
A6311-61,911,2245,1176,1069,"109Y12M"
A6311-62,1130,2991,1426,1565,"109Y12M"
A6311-63,1047,2567,1240,1327,"109Y12M"
A6311-64,1131,3162,1572,1590,"109Y12M"
A6311-65,1246,3272,1671,1601,"109Y12M"
A6311-66,1113,2904,1463,1441,"109Y12M"
A6311-67,1134,2775,1322,1453,"109Y12M"
A6311-68,2027,3474,1970,1504,"109Y12M"
A6311-69,1086,3007,1499,1508,"109Y12M"
A6311-70,1213,3179,1556,1623,"109Y12M"
A6311-71,1098,2891,1438,1453,"109Y12M"
A6311-72,1030,2909,1406,1503,"109Y12M"
A6311-73,1161,3171,1574,1597,"109Y12M"
A6311-74,1212,3200,1610,1590,"109Y12M"
A6311-75,1313,3409,1632,1777,"109Y12M"
A6311-76,1155,2883,1442,1441,"109Y12M"
A6311-77,1080,2648,1279,1369,"109Y12M"
A6311-78,1157,3013,1470,1543,"109Y12M"
A6311-79,1105,3039,1539,1500,"109Y12M"
A6311-80,1359,3449,1692,1757,"109Y12M"
A6311-81,1012,2922,1437,1485,"109Y12M"
A6311-82,1252,2988,1454,1534,"109Y12M"
A6311-83,1069,2818,1291,1527,"109Y12M"
A6311-84,985,2753,1323,1430,"109Y12M"
A6311-85,1188,3180,1568,1612,"109Y12M"
A6311-86,997,2867,1382,1485,"109Y12M"
A6311-87,1084,2965,1409,1556,"109Y12M"
A6311-88,1035,2930,1441,1489,"109Y12M"
A6311-89,1347,3386,1610,1776,"109Y12M"
A6311-90,963,2626,1246,1380,"109Y12M"
A6311-91,1080,2680,1289,1391,"109Y12M"
A6311-92,1141,2764,1330,1434,"109Y12M"
A6311-93,969,2600,1321,1279,"109Y12M"
A6311-94,966,2736,1354,1382,"109Y12M"
A6311-95,1243,3194,1604,1590,"109Y12M"
A6311-96,1067,2864,1366,1498,"109Y12M"
A6311-97,1128,2695,1271,1424,"109Y12M"
A6311-98,1537,3448,1548,1900,"109Y12M"
A6311-99,1143,2836,1387,1449,"109Y12M"
A6312-01,1074,2800,1510,1290,"109Y12M"
A6312-02,1120,2896,1493,1403,"109Y12M"
A6312-03,1101,2864,1358,1506,"109Y12M"
A6312-04,1092,3014,1463,1551,"109Y12M"
A6312-05,1190,3117,1503,1614,"109Y12M"
A6312-06,1203,3051,1474,1577,"109Y12M"
A6312-07,1119,2998,1533,1465,"109Y12M"
A6312-08,1066,2627,1305,1322,"109Y12M"
A6312-09,1249,3160,1475,1685,"109Y12M"
A6312-10,1506,3404,1608,1796,"109Y12M"
A6312-11,981,2590,1218,1372,"109Y12M"
A6312-12,1430,2939,1445,1494,"109Y12M"
A6312-13,1408,3515,1708,1807,"109Y12M"
A6312-14,1253,2929,1404,1525,"109Y12M"
A6312-15,1313,3332,1635,1697,"109Y12M"
A6312-16,1392,2933,1329,1604,"109Y12M"
A6312-17,1186,3011,1452,1559,"109Y12M"
A6312-18,1163,2938,1406,1532,"109Y12M"
A6312-19,1559,2993,1338,1655,"109Y12M"
A6312-20,1170,3036,1479,1557,"109Y12M"
A6312-21,1023,2659,1326,1333,"109Y12M"
A6312-22,1474,3284,1542,1742,"109Y12M"
A6312-23,1027,2788,1348,1440,"109Y12M"
A6312-24,1047,2610,1241,1369,"109Y12M"
A6312-25,1078,2757,1305,1452,"109Y12M"
A6312-26,902,2514,1261,1253,"109Y12M"
A6312-27,1174,2857,1375,1482,"109Y12M"
A6312-28,1164,2873,1385,1488,"109Y12M"
A6312-29,2012,3506,1957,1549,"109Y12M"
A6312-30,1443,3400,1592,1808,"109Y12M"
A6312-31,1140,2827,1360,1467,"109Y12M"
A6312-32,1289,3112,1478,1634,"109Y12M"
A6312-33,1083,2765,1355,1410,"109Y12M"
A6312-34,922,2443,1192,1251,"109Y12M"
A6312-35,1749,3887,1839,2048,"109Y12M"
A6312-36,1032,2945,1408,1537,"109Y12M"
A6312-37,1073,2864,1389,1475,"109Y12M"
A6312-38,1121,2903,1372,1531,"109Y12M"
A6312-39,1144,2779,1355,1424,"109Y12M"
A6312-40,1248,3202,1449,1753,"109Y12M"
A6312-41,1202,2984,1450,1534,"109Y12M"
A6312-42,898,2402,1178,1224,"109Y12M"
A6312-43,1133,2758,1299,1459,"109Y12M"
A6312-44,905,2473,1177,1296,"109Y12M"
A6312-45,1424,3449,1589,1860,"109Y12M"
A6312-46,1359,3426,1625,1801,"109Y12M"
A6312-47,1196,2994,1386,1608,"109Y12M"
A6312-48,1351,3132,1445,1687,"109Y12M"
A6312-49,1040,2947,1392,1555,"109Y12M"
A6312-50,1022,2938,1461,1477,"109Y12M"
A6312-51,1366,3535,1687,1848,"109Y12M"
A6312-52,1214,3280,1596,1684,"109Y12M"
A6312-53,1014,2910,1397,1513,"109Y12M"
A6312-54,1089,2949,1394,1555,"109Y12M"
A6312-55,939,2865,1518,1347,"109Y12M"
A6312-56,1100,2960,1406,1554,"109Y12M"
A6312-57,1023,2794,1324,1470,"109Y12M"
A6312-58,1164,3252,1511,1741,"109Y12M"
A6312-59,1102,3073,1401,1672,"109Y12M"
A6312-60,993,2791,1315,1476,"109Y12M"
A6312-61,1099,3132,1506,1626,"109Y12M"
A6312-62,1116,3216,1495,1721,"109Y12M"
A6312-63,1084,3059,1465,1594,"109Y12M"
A6312-64,1090,2790,1301,1489,"109Y12M"
A6312-65,1304,3184,1487,1697,"109Y12M"
A6312-66,1056,2922,1398,1524,"109Y12M"
A6312-67,1088,2763,1296,1467,"109Y12M"
A6312-68,987,2842,1340,1502,"109Y12M"
A6312-69,1114,2803,1315,1488,"109Y12M"
A6312-70,1189,3310,1590,1720,"109Y12M"
A6312-71,1168,3286,1529,1757,"109Y12M"
A6312-72,1045,2826,1356,1470,"109Y12M"
A6312-73,1183,2934,1344,1590,"109Y12M"
A6312-74,1205,3209,1523,1686,"109Y12M"
A6312-75,1121,3085,1472,1613,"109Y12M"
A6312-76,1068,2762,1323,1439,"109Y12M"
A6312-77,1329,3314,1566,1748,"109Y12M"
A6312-78,1239,3235,1579,1656,"109Y12M"
A6312-79,1,3,2,1,"109Y12M"
A6312-80,970,2701,1317,1384,"109Y12M"
A6312-81,1186,3120,1562,1558,"109Y12M"
A6312-82,1249,3071,1465,1606,"109Y12M"
A6312-83,1114,2951,1397,1554,"109Y12M"
A6312-84,1517,3594,1712,1882,"109Y12M"
