"","ym","county","district","village","sell","avg","year","month"
"1","2020年10月","新北市","八里區","下罟里",2,852,2020,10
"2","2020年10月","新北市","八里區","大崁里",1579,1526748,2020,10
"3","2020年10月","新北市","八里區","米倉里",1990,1687064,2020,10
"4","2020年10月","新北市","八里區","荖阡里",6,11421,2020,10
"5","2020年10月","新北市","八里區","訊塘里",11,12836,2020,10
"6","2020年10月","新北市","八里區","埤頭里",1700,1484210,2020,10
"7","2020年10月","新北市","八里區","頂罟里",337,309166,2020,10
"8","2020年10月","新北市","八里區","龍源里",4649,3553902,2020,10
"9","2020年10月","新北市","八里區","舊城里",47,50499,2020,10
"10","2020年10月","新北市","三芝區","八賢里",1,40,2020,10
"11","2020年10月","新北市","三芝區","古庄里",4,8388,2020,10
"12","2020年10月","新北市","三芝區","店子里",361,193147,2020,10
"13","2020年10月","新北市","三芝區","後厝里",2488,1135755,2020,10
"14","2020年10月","新北市","三芝區","茂長里",369,206340,2020,10
"15","2020年10月","新北市","三芝區","埔坪里",3099,1649207,2020,10
"16","2020年10月","新北市","三芝區","埔頭里",5,12723,2020,10
"17","2020年10月","新北市","三芝區","圓山里",150,75546,2020,10
"18","2020年10月","新北市","三芝區","新庄里",434,213394,2020,10
"19","2020年10月","新北市","三芝區","福德里",35,28038,2020,10
"20","2020年10月","新北市","三芝區","橫山里",41,14301,2020,10
"21","2020年10月","新北市","三芝區","興華里",804,473031,2020,10
"22","2020年10月","新北市","三芝區","錫板里",363,194063,2020,10
"23","2020年10月","新北市","三重區","二重里",657,618457,2020,10
"24","2020年10月","新北市","三重區","三民里",1435,1349882,2020,10
"25","2020年10月","新北市","三重區","三安里",5,4248,2020,10
"26","2020年10月","新北市","三重區","大同里",1187,1026416,2020,10
"27","2020年10月","新北市","三重區","大安里",781,749571,2020,10
"28","2020年10月","新北市","三重區","大有里",2103,2185904,2020,10
"29","2020年10月","新北市","三重區","大園里",1,1296,2020,10
"30","2020年10月","新北市","三重區","中山里",156,180079,2020,10
"31","2020年10月","新北市","三重區","中央里",2,4664,2020,10
"32","2020年10月","新北市","三重區","中正里",791,688816,2020,10
"33","2020年10月","新北市","三重區","中民里",601,548760,2020,10
"34","2020年10月","新北市","三重區","中興里",18,73266,2020,10
"35","2020年10月","新北市","三重區","五谷里",4,18052,2020,10
"36","2020年10月","新北市","三重區","五常里",1703,1684936,2020,10
"37","2020年10月","新北市","三重區","五華里",2281,2327450,2020,10
"38","2020年10月","新北市","三重區","五順里",1626,1511996,2020,10
"39","2020年10月","新北市","三重區","五福里",1883,1896412,2020,10
"40","2020年10月","新北市","三重區","仁忠里",1349,1163699,2020,10
"41","2020年10月","新北市","三重區","仁華里",1934,1870995,2020,10
"42","2020年10月","新北市","三重區","仁義里",7,9859,2020,10
"43","2020年10月","新北市","三重區","仁德里",4,9955,2020,10
"44","2020年10月","新北市","三重區","介壽里",1,1680,2020,10
"45","2020年10月","新北市","三重區","六合里",1922,1685476,2020,10
"46","2020年10月","新北市","三重區","六福里",2201,2104663,2020,10
"47","2020年10月","新北市","三重區","文化里",4,5489,2020,10
"48","2020年10月","新北市","三重區","平和里",774,669858,2020,10
"49","2020年10月","新北市","三重區","正安里",16,31166,2020,10
"50","2020年10月","新北市","三重區","正義里",2,4094,2020,10
"51","2020年10月","新北市","三重區","正德里",2,2227,2020,10
"52","2020年10月","新北市","三重區","民生里",6,8570,2020,10
"53","2020年10月","新北市","三重區","永吉里",1164,1062457,2020,10
"54","2020年10月","新北市","三重區","永安里",1603,1454975,2020,10
"55","2020年10月","新北市","三重區","永春里",959,901939,2020,10
"56","2020年10月","新北市","三重區","永清里",2109,1945608,2020,10
"57","2020年10月","新北市","三重區","永盛里",1386,1246816,2020,10
"58","2020年10月","新北市","三重區","永發里",2215,2244266,2020,10
"59","2020年10月","新北市","三重區","永順里",1940,1649517,2020,10
"60","2020年10月","新北市","三重區","永煇里",1060,901899,2020,10
"61","2020年10月","新北市","三重區","永福里",2156,1974052,2020,10
"62","2020年10月","新北市","三重區","永德里",1801,1558739,2020,10
"63","2020年10月","新北市","三重區","永興里",6,9347,2020,10
"64","2020年10月","新北市","三重區","永豐里",2083,1932009,2020,10
"65","2020年10月","新北市","三重區","田中里",2539,2408662,2020,10
"66","2020年10月","新北市","三重區","田心里",1780,1628109,2020,10
"67","2020年10月","新北市","三重區","田安里",2725,2428866,2020,10
"68","2020年10月","新北市","三重區","立德里",1436,1269100,2020,10
"69","2020年10月","新北市","三重區","光正里",1368,1293266,2020,10
"70","2020年10月","新北市","三重區","光田里",2272,2012020,2020,10
"71","2020年10月","新北市","三重區","光明里",3418,3711099,2020,10
"72","2020年10月","新北市","三重區","光華里",5,19998,2020,10
"73","2020年10月","新北市","三重區","光陽里",2826,2689398,2020,10
"74","2020年10月","新北市","三重區","光榮里",4,2951,2020,10
"75","2020年10月","新北市","三重區","光輝里",3,3659,2020,10
"76","2020年10月","新北市","三重區","吉利里",887,684329,2020,10
"77","2020年10月","新北市","三重區","同安里",600,554555,2020,10
"78","2020年10月","新北市","三重區","同慶里",1,4846,2020,10
"79","2020年10月","新北市","三重區","安慶里",4,6009,2020,10
"80","2020年10月","新北市","三重區","成功里",3136,2970718,2020,10
"81","2020年10月","新北市","三重區","自強里",3,5313,2020,10
"82","2020年10月","新北市","三重區","秀江里",3,3524,2020,10
"83","2020年10月","新北市","三重區","谷王里",1,912,2020,10
"84","2020年10月","新北市","三重區","尚德里",3,1694,2020,10
"85","2020年10月","新北市","三重區","幸福里",1457,1324670,2020,10
"86","2020年10月","新北市","三重區","忠孝里",10,4458,2020,10
"87","2020年10月","新北市","三重區","承德里",3,4925,2020,10
"88","2020年10月","新北市","三重區","長元里",2,3765,2020,10
"89","2020年10月","新北市","三重區","長生里",1,772,2020,10
"90","2020年10月","新北市","三重區","長安里",8,12997,2020,10
"91","2020年10月","新北市","三重區","長江里",2,2534,2020,10
"92","2020年10月","新北市","三重區","長泰里",5,7035,2020,10
"93","2020年10月","新北市","三重區","長福里",2,1984,2020,10
"94","2020年10月","新北市","三重區","信安里",3,5211,2020,10
"95","2020年10月","新北市","三重區","厚德里",13,24693,2020,10
"96","2020年10月","新北市","三重區","奕壽里",2,3909,2020,10
"97","2020年10月","新北市","三重區","重明里",1553,1581586,2020,10
"98","2020年10月","新北市","三重區","重陽里",1,1829,2020,10
"99","2020年10月","新北市","三重區","國隆里",2,1537,2020,10
"100","2020年10月","新北市","三重區","培德里",1596,1558255,2020,10
